,X,Y,CLUSTER
CENTER,-0.8963,-2.166,2.0
CENTER,0.3402,-0.4587,2.0
CENTER,-0.4884,-1.9176,2.0
CENTER,0.3053,-0.9873,2.0
CENTER,-0.17300000000000001,1.0315,2.0
CENTER,-0.6588,-2.7722,2.0
CENTER,0.0791,2.701,2.0
CENTER,0.4954,-1.7171,2.0
CENTER,0.7792,-2.8557,2.0
CENTER,-0.4061,-0.3871,2.0
CENTER,0.3949,-1.5225,2.0
CENTER,-0.1759,0.7542,2.0
CENTER,-0.4108,-2.4269,2.0
CENTER,0.1402,1.4564,2.0
CENTER,0.9814,-1.3002,2.0
CENTER,0.1161,2.334,2.0
CENTER,-0.1005,-0.8905,2.0
CENTER,0.1608,-1.1822,2.0
CENTER,-0.3138,-2.5689,2.0
CENTER,0.0518,2.0456,2.0
CENTER,0.3465,-1.4279,2.0
CENTER,-0.068,-1.6138,2.0
CENTER,-0.8590000000000001,-1.4541,2.0
CENTER,0.3469,-2.4155,2.0
CENTER,0.7595,-2.8391,2.0
CENTER,0.6313,-2.4623,2.0
CENTER,-0.5776,-2.2569999999999997,2.0
CENTER,0.9708,-1.4332,2.0
CENTER,-0.8,-2.3182,2.0
CENTER,-0.2137,-0.0078,2.0
CENTER,0.2445,-2.2341,2.0
CENTER,0.6543,-1.7837,2.0
CENTER,-0.3435,-1.3765,2.0
CENTER,-0.0246,-1.7930000000000001,2.0
CENTER,-0.48,-1.7899,2.0
CENTER,-0.1225,-0.7601,2.0
CENTER,-0.0474,-0.1945,2.0
CENTER,0.9556,-2.6349,2.0
CENTER,-0.1793,-0.5221,2.0
CENTER,-0.6104,-1.7445,2.0
CENTER,0.8613,-2.3595,2.0
CENTER,0.6959,-1.7407,2.0
CENTER,-0.0629,0.9009,2.0
CENTER,-0.2188,2.8003,2.0
CENTER,-0.2978,-2.7627,2.0
CENTER,0.9644,-1.8405,2.0
CENTER,-0.8275,-1.0674,2.0
CENTER,0.1246,1.3582,2.0
CENTER,-0.413,-0.3495,2.0
CENTER,-0.244,-2.1532,2.0
CENTER,-0.1777,-0.5481,2.0
CENTER,-0.4979,-1.1373,2.0
CENTER,-0.8485,-1.4928,2.0
CENTER,0.0173,1.7043,2.0
CENTER,-0.5454,-1.8622,2.0
CENTER,0.2162,2.7592,2.0
CENTER,-0.4812,-1.3735,2.0
CENTER,-0.1237,-2.7751,2.0
CENTER,0.278,-1.3359,2.0
CENTER,0.3205,-0.9877,2.0
CENTER,-0.11599999999999999,-2.4739,2.0
CENTER,-0.9951,-2.4891,2.0
CENTER,0.2018,2.5004,2.0
CENTER,-0.4295,0.6709,2.0
CENTER,0.4588,-2.0186,2.0
CENTER,-0.4139,0.1302,2.0
CENTER,0.6281,-2.7391,2.0
CENTER,0.0598,-1.1085,2.0
CENTER,-0.0682,0.7647,2.0
CENTER,0.3441,-2.3451,2.0
CENTER,0.3614,-2.4347,2.0
CENTER,0.0824,-1.9947,2.0
CENTER,-0.0023,1.9148,2.0
CENTER,0.1889,2.773,2.0
CENTER,-0.1563,-0.2372,2.0
CENTER,0.1809,2.9428,2.0
CENTER,0.7043,-1.3241,2.0
CENTER,0.3198,-2.2804,2.0
CENTER,-0.6667,-2.4307,2.0
CENTER,0.3756,-2.8546,2.0
CENTER,0.3479,-2.0439,2.0
CENTER,-0.5351,-2.9161,2.0
CENTER,0.1121,1.2929,2.0
CENTER,-0.5452,-2.3518,2.0
CENTER,0.0397,-1.0023,2.0
CENTER,-0.0017,1.4314,2.0
CENTER,0.1127,-1.5532,2.0
CENTER,-0.3489,-0.7669,2.0
CENTER,-0.1711,1.2297,2.0
CENTER,-0.055,-1.4108,2.0
CENTER,0.9782,-2.7143,2.0
CENTER,0.0918,1.5255,2.0
CENTER,0.2117,0.7094,2.0
CENTER,0.7982,-2.1216,2.0
CENTER,-0.6818,-1.8433,2.0
CENTER,-0.8741,-2.0206,2.0
CENTER,0.1021,-0.5547,2.0
