,CLUSTERS,K,CVNN
0,2,1,0.9607929120846562
1,3,1,0.843570874490624
2,4,1,1.2109676074753333
3,5,1,0.9255807213631415
4,6,1,0.7123801318577834
5,7,1,1.3845632118838103
6,8,1,1.0
7,9,1,0.9294524239258897
8,2,5,0.9607929120846562
9,3,5,0.843570874490624
10,4,5,1.3086352459592985
11,5,5,1.246590423762097
12,6,5,0.811054653212717
13,7,5,1.3845632118838103
14,8,5,1.0
15,9,5,1.274694608742104
16,2,10,0.9607929120846562
17,3,10,0.843570874490624
18,4,10,1.3867693567464705
19,5,10,1.351770957514059
20,6,10,0.9059929548270269
21,7,10,1.3845632118838103
22,8,10,1.0
23,9,10,1.4417260657769964
24,2,20,0.9607929120846562
25,3,20,0.843570874490624
26,4,20,1.3835782358851132
27,5,20,1.376764351672941
28,6,20,0.8919159715392393
29,7,20,1.3845632118838103
30,8,20,1.0
31,9,20,1.418017477614357
